time,all_num_康龙化成,all_dic_score,康龙化成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-03-10,38,6.00,0.17,22,22.00,16,-16.00
2022-03-11,26,14.00,0.78,20,20.00,6,-6.00
2022-03-12,4,2.00,0.56,3,3.00,1,-1.00
2022-03-13,6,6.00,1.00,6,6.00,0,0.00
2022-03-14,20,2.00,-0.01,11,11.00,9,-9.00
2022-03-15,20,4.00,0.29,12,12.00,8,-8.00
2022-03-16,33,9.00,0.13,21,21.00,12,-12.00
2022-03-17,19,7.00,0.45,13,13.00,6,-6.00
2022-03-18,21,9.00,0.55,15,15.00,6,-6.00
2022-03-19,3,-1.00,0.02,1,1.00,2,-2.00
2022-03-20,3,1.00,0.02,2,2.00,1,-1.00
2022-03-21,9,1.00,0.08,5,5.00,4,-4.00
2022-03-22,14,2.00,0.09,8,8.00,6,-6.00
2022-03-23,19,13.00,0.64,16,16.00,3,-3.00
2022-03-24,28,16.00,0.65,22,22.00,6,-6.00
2022-03-25,13,5.00,0.50,9,9.00,4,-4.00
2022-03-26,1,1.00,1.00,1,1.00,0,0.00
2022-03-27,53,47.00,0.22,50,50.00,3,-3.00
2022-03-28,31,19.00,0.79,25,25.00,6,-6.00
2022-03-29,52,32.00,0.67,42,42.00,10,-10.00
2022-03-30,29,7.00,0.13,18,18.00,11,-11.00
2022-03-31,28,8.00,0.62,18,18.00,10,-10.00
2022-04-01,16,4.00,0.31,10,10.00,6,-6.00
2022-04-02,6,4.00,0.66,5,5.00,1,-1.00
2022-04-03,2,2.00,1.00,2,2.00,0,0.00
2022-04-04,1,1.00,1.00,1,1.00,0,0.00
2022-04-05,5,3.00,0.24,4,4.00,1,-1.00
2022-04-06,11,-1.00,-0.26,5,5.00,6,-6.00
2022-04-07,22,10.00,0.37,16,16.00,6,-6.00
2022-04-08,12,6.00,0.04,9,9.00,3,-3.00
2022-04-09,1,1.00,1.00,1,1.00,0,0.00
2022-04-10,2,-2.00,-1.00,0,0.00,2,-2.00
2022-04-11,3,3.00,1.00,3,3.00,0,0.00
2022-04-12,21,5.00,0.34,13,13.00,8,-8.00
2022-04-13,18,10.00,0.69,14,14.00,4,-4.00
2022-04-14,25,7.00,0.31,16,16.00,9,-9.00
2022-04-15,49,23.00,0.39,36,36.00,13,-13.00
2022-04-16,3,1.00,0.50,2,2.00,1,-1.00
2022-04-17,7,3.00,-0.41,5,5.00,2,-2.00
2022-04-18,16,4.00,0.31,10,10.00,6,-6.00
2022-04-19,24,-4.00,-0.43,10,10.00,14,-14.00
2022-04-20,16,-2.00,-0.07,7,7.00,9,-9.00
2022-04-21,23,7.00,0.24,15,15.00,8,-8.00
2022-04-22,17,-1.00,-0.52,8,8.00,9,-9.00
2022-04-23,5,3.00,0.49,4,4.00,1,-1.00
2022-04-24,3,3.00,1.00,3,3.00,0,0.00
2022-04-25,19,11.00,0.53,15,15.00,4,-4.00
2022-04-26,13,11.00,0.90,12,12.00,1,-1.00
2022-04-27,6,4.00,0.55,5,5.00,1,-1.00
2022-04-28,57,11.00,0.36,34,34.00,23,-23.00
2022-04-29,71,27.00,0.51,49,49.00,22,-22.00
2022-04-30,11,7.00,0.51,9,9.00,2,-2.00
2022-05-01,2,0.00,-0.02,1,1.00,1,-1.00
2022-05-02,1,1.00,1.00,1,1.00,0,0.00
