time,all_num_迈为股份,all_dic_score,迈为股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-06-28,23,7.00,0.51,15,15.00,8,-8.00
2021-06-29,39,11.00,0.61,25,25.00,14,-14.00
2021-06-30,20,4.00,0.75,12,12.00,8,-8.00
2021-07-01,26,10.00,0.17,18,18.00,8,-8.00
2021-07-02,35,3.00,-0.53,19,19.00,16,-16.00
2021-07-03,1,1.00,1.00,1,1.00,0,0.00
2021-07-04,2,2.00,1.00,2,2.00,0,0.00
2021-07-05,29,3.00,0.16,16,16.00,13,-13.00
2021-07-06,27,-1.00,-0.06,13,13.00,14,-14.00
2021-07-07,30,4.00,0.14,17,17.00,13,-13.00
2021-07-08,16,2.00,0.30,9,9.00,7,-7.00
2021-07-09,18,12.00,0.73,15,15.00,3,-3.00
2021-07-10,3,-1.00,-0.08,1,1.00,2,-2.00
2021-07-11,5,3.00,0.85,4,4.00,1,-1.00
2021-07-12,16,4.00,0.32,10,10.00,6,-6.00
2021-07-13,14,-2.00,-0.27,6,6.00,8,-8.00
2021-07-14,18,-4.00,-0.32,7,7.00,11,-11.00
2021-07-15,19,5.00,0.21,12,12.00,7,-7.00
2021-07-16,15,1.00,0.45,8,8.00,7,-7.00
2021-07-17,3,-1.00,-0.60,1,1.00,2,-2.00
2021-07-18,7,1.00,-0.52,4,4.00,3,-3.00
2021-07-19,50,6.00,0.34,28,28.00,22,-22.00
2021-07-20,21,17.00,0.71,19,19.00,2,-2.00
2021-07-21,12,4.00,0.23,8,8.00,4,-4.00
2021-07-22,18,4.00,0.18,11,11.00,7,-7.00
2021-07-23,85,35.00,0.50,60,60.00,25,-25.00
2021-07-24,14,2.00,0.18,8,8.00,6,-6.00
2021-07-25,27,13.00,0.50,20,20.00,7,-7.00
2021-07-26,56,34.00,0.70,45,45.00,11,-11.00
2021-07-27,29,3.00,-0.10,16,16.00,13,-13.00
2021-07-28,31,9.00,0.53,20,20.00,11,-11.00
2021-07-29,44,-2.00,-0.08,21,21.00,23,-23.00
2021-07-30,45,11.00,0.28,28,28.00,17,-17.00
2021-07-31,8,-2.00,0.25,3,3.00,5,-5.00
2021-08-01,12,0.00,-0.52,6,6.00,6,-6.00
2021-08-02,24,2.00,-0.00,13,13.00,11,-11.00
2021-08-03,28,-4.00,-0.39,12,12.00,16,-16.00
2021-08-04,67,3.00,0.00,35,35.00,32,-32.00
2021-08-05,65,-13.00,-0.34,26,26.00,39,-39.00
2021-08-06,36,0.00,-0.70,18,18.00,18,-18.00
2021-08-07,11,3.00,0.39,7,7.00,4,-4.00
2021-08-08,9,3.00,0.32,6,6.00,3,-3.00
2021-08-09,31,7.00,0.27,19,19.00,12,-12.00
2021-08-10,41,5.00,-0.04,23,23.00,18,-18.00
2021-08-11,27,5.00,0.19,16,16.00,11,-11.00
2021-08-12,31,-1.00,-0.07,15,15.00,16,-16.00
2021-08-13,23,9.00,0.42,16,16.00,7,-7.00
2021-08-14,3,3.00,1.00,3,3.00,0,0.00
2021-08-15,9,3.00,0.11,6,6.00,3,-3.00
2021-08-16,34,6.00,0.36,20,20.00,14,-14.00
2021-08-17,29,1.00,0.26,15,15.00,14,-14.00
2021-08-18,33,1.00,0.15,17,17.00,16,-16.00
2021-08-19,26,0.00,-0.11,13,13.00,13,-13.00
2021-08-20,33,-1.00,-0.29,16,16.00,17,-17.00
2021-08-21,5,3.00,0.66,4,4.00,1,-1.00
2021-08-22,5,3.00,0.45,4,4.00,1,-1.00
